COUNTY_ID,COUNTY,TOWN_ID,TOWN,FLD01,FLD02,FLD03,FLD04,FLD05,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,常住人口數-總計,常住人口數-男,常住人口數-女,土地面積,人口密度,資料時間
66000,臺中市,66000010,中區,458566,224189,234377,34.8,13175.4,"109Y"
66000,臺中市,66000020,東區,468641,231923,236718,76.5,6124.4,"109Y"
66000,臺中市,66000030,南區,103101,53457,49644,105.1,980.8,"109Y"
66000,臺中市,66000040,西區,182572,94057,88515,89.1,2048.5,"109Y"
66000,臺中市,66000050,北區,184664,93769,90895,75.5,2445.8,"109Y"
66000,臺中市,66000060,西屯區,97916,50771,47145,87.4,1120.4,"109Y"
66000,臺中市,66000070,南屯區,221344,112910,108434,72,3073.5,"109Y"
66000,臺中市,66000080,北屯區,221888,110898,110990,33.7,6582,"109Y"
66000,臺中市,66000090,豐原區,136276,70269,66007,75.2,1811.4,"109Y"
66000,臺中市,66000100,東勢區,230595,114810,115785,47.8,4828.9,"109Y"
66000,臺中市,66000110,大甲區,53221,28420,24801,85,626,"109Y"
66000,臺中市,66000120,清水區,75911,41727,34184,88,862.8,"109Y"
66000,臺中市,66000130,沙鹿區,6369,3276,3093,350.8,18.2,"109Y"
66000,臺中市,66000140,梧棲區,56476,29602,26874,10.2,5530.5,"109Y"
66000,臺中市,66000150,后里區,58735,29572,29163,56.3,1043.9,"109Y"
66000,臺中市,66000160,神岡區,38909,19047,19862,22.8,1704.4,"109Y"
66000,臺中市,66000170,潭子區,38944,18618,20326,4.2,9199,"109Y"
66000,臺中市,66000180,大雅區,43239,21205,22034,10.5,4108.7,"109Y"
66000,臺中市,66000190,新社區,80361,38158,42203,18,4458.3,"109Y"
66000,臺中市,66000200,石岡區,50600,24634,25966,10.7,4742,"109Y"
66000,臺中市,66000210,外埔區,249873,124038,125835,33.6,7441.8,"109Y"
66000,臺中市,66000220,大安區,153427,75834,77593,15.7,9755.8,"109Y"
66000,臺中市,66000230,烏日區,96168,49099,47069,54.8,1753.3,"109Y"
66000,臺中市,66000240,大肚區,96098,47036,49062,29.4,3267.8,"109Y"
66000,臺中市,66000250,龍井區,60846,28669,32177,11.3,5363.3,"109Y"
66000,臺中市,66000260,霧峰區,37682,20939,16743,89,423.3,"109Y"
66000,臺中市,66000270,太平區,25378,12963,12415,100.9,251.5,"109Y"
66000,臺中市,66000280,大里區,33718,16211,17507,101.4,332.4,"109Y"
66000,臺中市,66000290,和平區,22172,10908,11264,38.5,576.2,"109Y"
