COUNTY_ID,COUNTY,TOWN_ID,TOWN,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,博士人口數,碩士人口數,大學院校人口數,專科人口數,高中職人口數,國中初職人口數,小學人口數,自修人口數,不識字人口數,資料時間
66000,臺中市,66000010,中區,133,1013,4071,2098,4746,1576,1235,21,52,"109Y"
66000,臺中市,66000020,東區,483,4555,19568,8382,20329,7163,6027,81,393,"109Y"
66000,臺中市,66000030,南區,1582,10547,37786,15431,29650,8335,6174,159,354,"109Y"
66000,臺中市,66000040,西區,1490,10497,34745,13476,25098,6870,5731,129,310,"109Y"
66000,臺中市,66000050,北區,1599,11003,42706,17009,36862,10773,8491,107,453,"109Y"
66000,臺中市,66000060,西屯區,2699,20364,68823,26182,51334,14471,11265,148,724,"109Y"
66000,臺中市,66000070,南屯區,1972,15577,53680,20544,37685,9485,8466,103,421,"109Y"
66000,臺中市,66000080,北屯區,2064,21075,81595,33716,71028,19060,15678,516,861,"109Y"
66000,臺中市,66000090,豐原區,625,8574,39813,17375,44327,16488,14364,137,878,"109Y"
66000,臺中市,66000100,東勢區,116,1772,9603,4623,15155,6292,6102,44,428,"109Y"
66000,臺中市,66000110,大甲區,185,3285,16796,6062,20457,9176,8122,174,984,"109Y"
66000,臺中市,66000120,清水區,236,4074,19698,7519,23220,10469,9690,156,1271,"109Y"
66000,臺中市,66000130,沙鹿區,443,5324,22531,8794,23525,8928,8653,151,1053,"109Y"
66000,臺中市,66000140,梧棲區,129,2613,14165,5109,15125,6637,5792,102,686,"109Y"
66000,臺中市,66000150,后里區,118,1964,11377,4483,15241,6802,6299,54,646,"109Y"
66000,臺中市,66000160,神岡區,138,2400,14666,5760,18314,7526,7684,71,574,"109Y"
66000,臺中市,66000170,潭子區,347,4959,26653,11650,31374,10344,8549,93,555,"109Y"
66000,臺中市,66000180,大雅區,270,4492,23067,8838,25805,11063,7026,187,650,"109Y"
66000,臺中市,66000190,新社區,46,652,4416,1944,7181,3481,3401,70,379,"109Y"
66000,臺中市,66000200,石岡區,31,512,2986,1352,4472,1999,1759,23,106,"109Y"
66000,臺中市,66000210,外埔區,64,1129,6491,2395,9320,4467,3771,39,529,"109Y"
66000,臺中市,66000220,大安區,22,548,3600,1276,5499,2566,3006,84,351,"109Y"
66000,臺中市,66000230,烏日區,303,4001,18870,7397,20441,7119,6721,94,765,"109Y"
66000,臺中市,66000240,大肚區,128,2368,12802,5225,15684,6291,6235,61,790,"109Y"
66000,臺中市,66000250,龍井區,291,3806,19162,6859,20108,9135,6582,211,1012,"109Y"
66000,臺中市,66000260,霧峰區,259,2787,15056,5626,19037,7065,6470,149,856,"109Y"
66000,臺中市,66000270,太平區,739,8726,46539,18736,55192,20755,15592,238,1348,"109Y"
66000,臺中市,66000280,大里區,953,10947,52919,20993,57877,21984,14705,180,1226,"109Y"
66000,臺中市,66000290,和平區,23,247,1649,967,3579,1775,1318,20,103,"109Y"
